,BME280_Humidity,BME280_Pressure,BME280_Temp,DS18B20_Temp,Date,Intensity,Spinach_Area,Potato_Area
0,54.0,898.84,30.25,23.62,2019-10-26 13:11:25,2011.0,126,890
1,54.04,898.64,30.02,23.62,2019-10-26 13:26:32,1797.0,398,1413
2,53.66,898.4,29.86,23.19,2019-10-26 13:41:39,1694.0,244,962
3,53.5,898.2,29.96,23.25,2019-10-26 13:56:47,1614.0,1159,2538
4,53.42,898.04,29.93,22.81,2019-10-26 14:11:54,1512.0,324,2880
5,53.56,897.88,29.68,23.0,2019-10-26 14:27:01,1354.0,133,1645
6,53.77,897.87,29.26,22.94,2019-10-26 14:42:08,1265.0,90,855
7,53.93,897.71,29.03,23.0,2019-10-26 14:57:16,1204.0,52,727
8,53.87,897.56,28.84,22.69,2019-10-26 15:12:23,1138.0,66,524
9,54.08,897.42,28.55,22.25,2019-10-26 15:27:30,1023.0,0,0
10,50.81,897.37,31.56,23.19,2019-10-27 13:06:56,2083.0,4097,9144
11,50.75,897.09,31.23,24.44,2019-10-27 13:22:03,1715.0,13873,20956
12,50.43,896.99,31.03,24.19,2019-10-27 13:37:11,1570.0,27555,25106
13,50.44,896.96,30.59,23.75,2019-10-27 13:52:18,1476.0,26471,32376
14,50.26,896.83,30.41,23.81,2019-10-27 14:07:25,1393.0,21321,21479
15,50.25,896.85,30.21,23.56,2019-10-27 14:22:32,1295.0,29465,53288
16,50.49,896.79,29.57,22.81,2019-10-27 14:37:40,1194.0,8192,8142
17,50.32,896.72,29.38,23.5,2019-10-27 14:52:47,1120.0,7629,8400
18,50.14,896.71,29.59,23.56,2019-10-27 15:07:54,1057.0,3454,5527
19,50.39,896.55,29.37,23.31,2019-10-27 15:23:01,925.0,4095,6177
20,50.62,896.48,29.05,23.06,2019-10-27 15:38:09,826.0,2255,2740
21,50.99,896.36,28.55,22.62,2019-10-27 15:53:16,736.0,260,519
22,49.3,898.3,31.56,24.44,2019-10-28 13:05:50,2088.0,2425,3026
23,49.24,897.98,31.11,24.25,2019-10-28 13:20:57,1691.0,4972,4126
24,48.94,897.88,31.03,24.38,2019-10-28 13:36:04,1527.0,6406,3460
25,48.95,897.85,30.64,24.56,2019-10-28 13:51:12,1423.0,10723,4557
26,48.83,897.73,30.58,24.31,2019-10-28 14:06:19,1326.0,10076,3503
27,48.65,897.51,30.43,24.38,2019-10-28 14:21:26,1247.0,10443,7656
28,48.75,897.33,30.33,24.38,2019-10-28 14:36:33,1157.0,9666,3880
29,48.82,897.32,30.14,24.25,2019-10-28 14:51:41,1069.0,9015,3310
30,48.84,897.44,30.07,23.75,2019-10-28 15:06:48,982.0,4057,1422
31,49.21,897.45,29.54,23.75,2019-10-28 15:21:55,911.0,2160,669
32,49.64,897.47,28.89,22.88,2019-10-28 15:37:02,826.0,862,204
33,49.95,897.6,28.32,23.06,2019-10-28 15:52:10,709.0,355,122
34,48.67,898.67,30.57,23.94,2019-10-29 13:27:24,1635.0,31434,182858
35,48.56,898.51,30.46,23.56,2019-10-29 13:42:32,1486.0,34010,91562
36,48.68,898.3,30.15,23.12,2019-10-29 13:57:39,1410.0,33618,52507
37,48.56,898.18,30.04,24.12,2019-10-29 14:12:46,1308.0,34797,38505
38,48.59,897.94,29.9,23.69,2019-10-29 14:27:54,1240.0,24303,27576
39,48.52,897.83,29.83,23.44,2019-10-29 14:43:01,1162.0,20085,16540
40,48.69,897.74,29.82,23.94,2019-10-29 14:58:08,1048.0,17301,12254
41,48.75,897.6,29.53,23.44,2019-10-29 15:13:15,962.0,15044,8773
42,49.29,897.51,28.79,23.31,2019-10-29 15:28:23,862.0,5525,2660
43,49.58,897.63,28.4,22.62,2019-10-29 15:43:30,770.0,2376,1268
44,49.63,897.62,28.26,22.69,2019-10-29 15:58:37,689.0,666,624
45,47.63,897.63,31.74,23.25,2019-10-30 13:03:37,2202.0,13066,41591
46,48.33,897.36,30.6,23.69,2019-10-30 13:18:45,1843.0,18036,59298
47,48.24,897.21,30.49,23.88,2019-10-30 13:33:52,1720.0,24886,47654
48,48.02,897.05,30.22,22.44,2019-10-30 13:48:59,1666.0,16238,29048
49,48.09,896.9,29.95,23.44,2019-10-30 14:04:06,1567.0,20873,35299
50,47.81,896.73,29.99,23.5,2019-10-30 14:19:14,1490.0,13452,26021
51,48.08,896.4,29.77,22.75,2019-10-30 14:34:21,1442.0,25444,43949
52,48.49,896.12,29.14,22.88,2019-10-30 15:19:43,1034.0,9505,1530
53,48.9,896.13,28.51,22.69,2019-10-30 15:34:50,914.0,4668,925
54,49.2,896.23,28.17,22.5,2019-10-30 15:49:57,780.0,2962,717
55,47.67,896.83,31.24,24.12,2019-10-31 13:09:19,1946.0,62418,57459
56,47.77,896.73,30.7,23.38,2019-10-31 13:24:27,1667.0,50174,54786
57,47.63,896.53,30.54,24.44,2019-10-31 13:39:34,1536.0,52247,49720
58,47.42,896.31,30.47,24.06,2019-10-31 13:54:41,1440.0,62336,51828
59,47.34,896.3,30.34,24.38,2019-10-31 14:09:48,1354.0,63208,48658
60,47.21,896.08,30.41,24.31,2019-10-31 14:24:56,1266.0,56032,40466
61,47.22,895.97,30.06,23.38,2019-10-31 14:40:03,1183.0,54500,37831
62,47.36,895.97,29.82,23.69,2019-10-31 14:55:10,1121.0,49365,25928
63,47.63,895.86,29.42,23.5,2019-10-31 15:11:06,1043.0,39879,17953
64,47.83,895.8,29.25,23.94,2019-10-31 15:35:49,782.0,23877,7821
65,47.82,896.01,29.32,23.0,2019-10-31 15:50:56,782.0,10018,1502
66,43.99,897.27,32.85,24.31,2019-11-01 13:22:34,2159.0,0,0
67,44.13,897.06,32.75,24.94,2019-11-01 13:37:41,1705.0,0,0
68,45.6,896.79,30.37,23.5,2019-11-01 14:33:03,950.0,0,0
69,46.06,896.83,29.82,22.88,2019-11-01 14:48:11,846.0,0,0
70,46.84,896.86,29.01,22.31,2019-11-01 15:03:18,626.0,0,0
71,47.12,896.93,28.68,21.69,2019-11-01 15:18:25,538.0,0,0
72,47.68,897.05,27.98,21.12,2019-11-01 15:33:33,456.0,0,0
73,48.32,897.05,27.21,21.0,2019-11-01 15:48:40,388.0,0,0
74,47.87,899.16,28.66,20.88,2019-11-02 13:08:46,1059.0,0,0
75,48.38,898.69,28.03,21.06,2019-11-02 13:02:48,700.0,0,0
76,48.61,898.58,28.03,20.19,2019-11-02 13:17:55,755.0,0,0
77,48.97,898.75,27.62,20.5,2019-11-02 13:33:03,646.0,0,0
78,49.44,898.59,27.04,20.12,2019-11-02 13:48:10,525.0,0,0
79,49.59,898.58,26.93,19.31,2019-11-02 14:03:17,480.0,0,0
80,49.95,898.63,26.43,19.44,2019-11-02 14:18:24,515.0,0,0
81,50.39,898.53,26.12,19.06,2019-11-02 14:33:32,370.0,0,0
82,50.8,898.73,25.58,18.56,2019-11-02 14:48:39,290.0,12698,41689
83,51.15,898.84,25.02,18.69,2019-11-02 15:03:46,143.0,13600,30170
84,51.72,899.0,24.25,17.88,2019-11-02 15:18:53,144.0,10783,22936
85,45.94,898.62,30.74,23.56,2019-11-03 13:14:38,2306.0,22902,7622
86,45.94,898.19,30.76,23.69,2019-11-03 13:29:46,1824.0,18116,4387
87,45.79,897.92,30.81,23.31,2019-11-03 13:44:53,1660.0,33313,4986
88,46.2,897.8,30.13,23.44,2019-11-03 14:00:00,1510.0,91035,14853
89,46.47,897.65,29.56,23.31,2019-11-03 14:15:07,1320.0,90131,13695
90,46.56,897.69,29.11,22.75,2019-11-03 14:30:15,1233.0,65898,8814
91,44.93,897.63,30.24,23.44,2019-11-03 15:15:36,1250.0,3818,152
92,45.19,897.55,30.18,22.81,2019-11-03 15:30:44,1201.0,1824,142
93,46.11,897.55,29.16,22.12,2019-11-03 15:45:51,945.0,1398,168
94,45.18,897.87,29.16,22.38,2019-11-04 13:05:42,1165.0,77799,125275
95,45.19,897.89,28.9,23.44,2019-11-04 13:20:49,1090.0,87779,126505
96,45.04,897.8,28.78,23.0,2019-11-04 13:35:56,1029.0,87870,106260
97,45.21,897.73,28.33,22.88,2019-11-04 13:51:04,952.0,97345,97878
98,46.01,897.5,26.82,21.06,2019-11-04 15:06:40,483.0,53278,132807
99,46.62,897.46,26.24,19.31,2019-11-04 15:21:47,380.0,44387,130414
100,47.09,897.64,25.7,19.38,2019-11-04 15:36:54,307.0,43735,139703
101,47.72,897.76,24.88,18.75,2019-11-04 15:52:02,211.0,37324,117187
102,43.74,894.94,28.88,22.81,2019-11-05 13:12:04,1063.0,109881,209548
103,43.49,894.75,28.97,22.75,2019-11-05 13:27:11,989.0,110933,205194
104,43.46,894.71,28.54,22.5,2019-11-05 13:42:18,960.0,115303,206769
105,43.58,894.57,28.19,22.94,2019-11-05 13:57:25,859.0,107916,180960
106,43.54,894.48,27.94,22.62,2019-11-05 14:12:33,748.0,102163,155138
107,43.65,894.32,27.62,22.75,2019-11-05 14:27:40,651.0,93396,132601
108,43.7,894.25,27.32,22.25,2019-11-05 14:42:47,563.0,81249,95607
109,44.05,894.06,26.71,20.19,2019-11-05 14:57:55,474.0,64030,59776
110,44.75,893.95,25.71,19.06,2019-11-05 15:13:02,392.0,49023,28484
111,45.39,894.06,24.8,18.81,2019-11-05 15:28:09,311.0,39747,30748
112,45.93,893.99,23.89,17.81,2019-11-05 15:43:16,235.0,23867,11516
113,46.6,893.99,22.7,16.88,2019-11-05 15:58:24,138.0,23313,15694
114,42.66,895.03,30.88,22.56,2019-11-06 13:04:12,2238.0,191423,53030
115,41.26,894.66,30.71,23.19,2019-11-06 13:47:41,1844.0,66399,10585
116,41.01,894.46,31.01,22.44,2019-11-06 14:02:48,1841.0,30701,4645
117,40.79,894.46,31.04,23.25,2019-11-06 14:17:55,1502.0,60512,8589
118,41.45,894.16,30.81,22.06,2019-11-06 14:33:02,1572.0,13294,1561
119,41.69,893.98,30.29,21.69,2019-11-06 14:48:10,1220.0,56090,13041
120,42.96,893.64,27.81,22.0,2019-11-06 15:39:44,676.0,217283,31925
121,43.45,893.49,27.09,21.31,2019-11-06 15:54:57,676.0,284721,60508
122,55.41,900.13,14.22,9.81,2019-11-07 13:02:27,254.0,34082,49425
123,55.29,899.78,14.55,10.0,2019-11-07 13:17:41,264.0,35466,54143
124,55.26,899.15,14.68,11.5,2019-11-07 13:32:55,465.0,30504,53524
125,53.42,898.56,16.58,12.69,2019-11-07 13:48:08,654.0,36553,36732
126,53.74,898.03,16.78,12.31,2019-11-07 14:03:22,943.0,60474,85548
127,51.45,896.67,19.57,16.12,2019-11-07 14:47:40,992.0,51425,40011
128,50.85,896.34,19.96,15.25,2019-11-07 15:07:25,990.0,82937,72576
129,50.73,896.12,19.97,15.75,2019-11-07 15:22:41,1147.0,44574,38655
130,51.27,896.14,19.26,15.31,2019-11-07 15:37:54,717.0,66841,35221
131,50.87,895.88,19.39,15.62,2019-11-07 15:53:08,266.0,35776,22460
132,50.29,895.85,19.83,15.81,2019-11-07 15:47:40,440.0,65663,44176
133,51.3,899.51,24.82,18.12,2019-11-08 13:12:55,1608.0,58456,31207
134,52.74,899.75,22.4,16.56,2019-11-08 13:43:22,135.0,107541,232392
135,52.99,899.77,21.59,17.56,2019-11-08 13:58:36,131.0,107220,254296
136,53.16,899.75,20.95,16.69,2019-11-08 14:13:49,879.0,99347,185214
137,53.66,899.56,20.91,17.31,2019-11-08 14:29:03,1045.0,116102,232918
138,52.46,899.62,22.17,17.81,2019-11-08 14:44:16,825.0,96428,143796
139,51.02,899.68,23.71,18.38,2019-11-08 14:59:30,689.0,122926,221743
140,51.43,899.42,23.11,18.75,2019-11-08 15:14:44,1224.0,146400,419395
141,51.62,899.53,22.61,18.44,2019-11-08 15:29:57,854.0,140009,290613
142,51.75,899.47,21.98,17.5,2019-11-08 15:45:11,386.0,111602,221367
143,47.02,898.38,28.45,21.38,2019-11-09 13:11:39,1561.0,151694,288261
144,46.94,898.35,27.95,21.75,2019-11-09 13:26:52,1300.0,177024,342459
145,46.62,898.05,27.97,22.12,2019-11-09 13:42:00,1184.0,209283,392837
146,46.38,897.9,27.85,21.81,2019-11-09 13:57:07,1100.0,247012,450088
147,46.38,897.78,27.47,22.38,2019-11-09 14:12:21,1000.0,241257,437064
148,46.33,897.62,27.28,21.75,2019-11-09 14:27:34,914.0,220393,413482
149,46.27,897.59,27.32,21.44,2019-11-09 14:42:49,844.0,227910,425211
150,46.38,897.59,27.05,21.88,2019-11-09 14:58:03,780.0,213011,395356
151,46.39,897.56,26.7,21.44,2019-11-09 15:13:10,709.0,190657,325691
152,46.68,897.53,26.37,20.38,2019-11-09 15:28:24,625.0,176647,302629
153,47.33,897.5,25.72,19.81,2019-11-09 15:43:37,543.0,157570,251173
154,47.67,897.57,25.26,19.5,2019-11-09 15:58:45,462.0,141451,196935
155,46.48,898.07,29.07,22.12,2019-11-10 13:05:21,1776.0,153402,226820
156,46.67,897.87,28.29,21.62,2019-11-10 13:20:34,1406.0,169643,258307
157,46.5,897.75,27.99,22.0,2019-11-10 13:35:48,1262.0,197059,297393
158,46.28,897.6,27.85,21.12,2019-11-10 13:51:01,1172.0,222511,334292
159,46.11,897.52,27.76,21.81,2019-11-10 14:06:15,1083.0,231277,328214
160,46.22,897.38,27.41,21.12,2019-11-10 14:21:28,989.0,213545,324530
161,46.3,897.03,27.02,21.31,2019-11-10 14:36:42,913.0,199268,286730
162,46.29,896.97,26.74,21.12,2019-11-10 14:51:55,838.0,186213,260040
163,46.36,896.88,26.7,20.44,2019-11-10 15:07:09,765.0,183147,246573
164,46.56,896.89,26.35,20.25,2019-11-10 15:22:22,691.0,173555,222053
165,46.73,896.79,26.02,19.94,2019-11-10 15:37:36,615.0,159890,189632
166,46.91,896.9,25.57,20.25,2019-11-10 15:52:49,534.0,151868,161019
167,48.6,897.95,24.32,17.12,2019-11-11 13:00:39,989.0,111332,74816
168,48.03,897.85,25.08,17.25,2019-11-11 13:15:52,1205.0,125143,95482
169,47.91,897.82,25.27,17.38,2019-11-11 13:31:06,1121.0,120273,80660
170,48.11,897.67,24.79,16.94,2019-11-11 13:46:19,1034.0,117332,78233
171,47.89,897.41,25.23,18.06,2019-11-11 14:01:33,1019.0,124065,83564
172,47.58,897.17,25.74,18.0,2019-11-11 14:16:46,1173.0,128966,90823
173,47.77,896.93,25.48,18.25,2019-11-11 14:32:00,1048.0,116529,70646
174,47.88,896.81,25.37,18.25,2019-11-11 14:47:13,1075.0,109448,65058
175,48.35,896.92,24.79,17.19,2019-11-11 15:02:27,960.0,114778,63106
176,48.93,896.82,24.2,17.56,2019-11-11 15:17:40,722.0,117644,67123
177,49.21,897.03,23.93,17.44,2019-11-11 15:32:54,591.0,121807,63598
178,49.65,897.01,23.23,16.88,2019-11-11 15:48:07,521.0,124696,63122
179,46.1,897.84,29.76,21.25,2019-11-12 13:07:39,1663.0,139552,92100
180,45.97,897.65,29.59,22.12,2019-11-12 13:22:53,1828.0,128362,85999
181,45.39,897.51,29.74,21.62,2019-11-12 13:38:07,1660.0,134511,81362
182,45.54,897.46,29.56,21.56,2019-11-12 13:53:20,1498.0,130682,79907
183,45.87,897.29,29.01,22.06,2019-11-12 14:08:34,1314.0,149390,113107
