,BME280_Humidity,BME280_Pressure,BME280_Temp,DS18B20_Temp,Date,Intensity,Spinach_Area,Potato_Area,Valid
0,66.7,900.24,15.74,10.06,2019-10-26 07:25:58,155.0,0,0,0
1,66.72,900.29,15.74,10.88,2019-10-26 07:25:59,215.0,0,0,0
2,66.55,900.4,16.02,10.94,2019-10-26 07:41:07,215.0,0,0,0
3,66.1,900.59,16.6,11.44,2019-10-26 07:56:14,280.0,0,0,0
4,65.65,900.51,17.04,12.25,2019-10-26 08:11:21,431.0,0,0,0
5,64.49,900.51,18.28,13.12,2019-10-26 08:26:28,700.0,0,0,0
6,63.62,900.78,19.22,13.19,2019-10-26 08:41:36,1024.0,0,0,0
7,62.92,900.85,20.22,14.25,2019-10-26 08:56:43,1126.0,0,0,0
8,61.86,900.97,20.94,15.12,2019-10-26 09:11:50,1369.0,0,0,0
9,61.1,900.95,21.94,16.19,2019-10-26 09:26:57,1509.0,0,0,0
10,59.68,900.95,23.26,16.75,2019-10-26 09:42:05,1695.0,0,0,0
11,53.02,900.56,29.08,22.31,2019-10-26 10:40:11,2664.0,0,0,0
12,53.02,900.56,29.1,21.94,2019-10-26 10:40:12,7315.0,0,0,0
13,46.64,900.4,34.8,24.19,2019-10-26 10:55:19,7320.0,0,0,0
14,44.91,900.15,37.15,23.69,2019-10-26 11:10:27,6793.0,0,0,0
15,44.29,899.92,38.04,25.56,2019-10-26 11:25:34,6691.0,0,0,0
16,43.23,899.69,39.25,26.25,2019-10-26 11:40:41,6645.0,0,0,0
17,43.5,899.55,39.35,25.06,2019-10-26 11:55:48,6382.0,0,0,0
18,44.27,899.5,38.5,24.38,2019-10-26 12:10:56,5925.0,0,0,0
19,44.94,899.38,38.15,23.62,2019-10-26 12:26:03,6240.0,0,0,0
20,49.21,899.26,34.41,21.06,2019-10-26 12:41:10,6290.0,0,0,0
21,53.1,899.03,31.3,23.12,2019-10-26 12:56:18,2450.0,0,0,0
22,54.0,898.84,30.25,23.62,2019-10-26 13:11:25,2011.0,126,890,1
23,54.04,898.64,30.02,23.62,2019-10-26 13:26:32,1797.0,398,1413,1
24,53.66,898.4,29.86,23.19,2019-10-26 13:41:39,1694.0,244,962,1
25,53.5,898.2,29.96,23.25,2019-10-26 13:56:47,1614.0,1159,2538,1
26,53.42,898.04,29.93,22.81,2019-10-26 14:11:54,1512.0,324,2880,1
27,53.56,897.88,29.68,23.0,2019-10-26 14:27:01,1354.0,133,1645,1
28,53.77,897.87,29.26,22.94,2019-10-26 14:42:08,1265.0,90,855,1
29,53.93,897.71,29.03,23.0,2019-10-26 14:57:16,1204.0,52,727,1
30,53.87,897.56,28.84,22.69,2019-10-26 15:12:23,1138.0,66,524,1
31,54.08,897.42,28.55,22.25,2019-10-26 15:27:30,1023.0,0,0,1
32,54.42,897.43,28.18,21.81,2019-10-26 15:42:38,890.0,0,0,0
